lieu,N
Antibes (France),7
Appalaches (Sud),7
Arras (France),7
Asie Mineure,7
Atlantide (Lieu imaginaire),7
"Atlantique, Côte de l' (France)",7
Baden-Baden (Allemagne),7
Baléares (Espagne),7
Bamako (Mali),7
Bangladesh,7
Bayonne (France),7
Belle-Île (France),7
Biélorussie,7
Brive-la-Gaillarde (France),7
Byzance,7
Caen (France),7
"Cap-Rouge (Québec, Québec)",7
Castelcerf (Lieu imaginaire),7
"Chaleurs, Baie des (N.-B. et Québec)",7
Chambly (Québec),7
Christchurch (Nouvelle-Zélande),7
Ciudad Juárez (Mexique),7
Djakarta (Indonésie),7
Ex-URSS,7
Guernesey (Îles Anglo-Normandes),7
Guyana,7
Haïfa (Israël),7
Hispaniola,7
"Indien, Îles de l'océan",7
Isère (France),7
Kirghizistan,7
Kurdistān,7
Lac-Mégantic (Québec),7
Lahore (Pākistān),7
Le Mont-Saint-Michel (France),7
Leningrad (Russie),7
"Loire, Vallée de la (France)",7
Lowell (Mass.),7
Mandchourie (Chine),7
Manille (Philippines),7
Matane (Québec),7
Medellín (Colombie),7
"Méditerranée, Îles de la",7
Moldavie,7
Nanterre (France),7
Neuilly-sur-Seine (France),7
Nil (Fleuve),7
Nordeste (Brésil),7
Nuuk (Groenland),7
Péribonka (Québec),7
Poitiers (France),7
Porto (Portugal),7
Rabat (Maroc),7
"Saint-Denis (Seine-Saint-Denis, France)",7
"Saint-Germain-des-Prés (Paris, France : Quartier)",7
Salem (Mass.),7
Samoa (Archipel),7
Sept Couronnes (Lieu imaginaire),7
Shawinigan (Québec),7
Southampton (Angleterre),7
Surrey (Angleterre),7
Taibei (Taiwan),7
Tarn (France),7
Thessalonique (Grèce),7
Velay (France),7
Villefranche-de-Rouergue (France),7
Ys (Lieu imaginaire),7
Yukon,7
"18e arrondissement (Paris, France)",6
Aberdeen (Écosse),6
Abidjan (Côte-d'Ivoire),6
Açores,6
Acre (Israël),6
Addis-Abeba (Éthiopie),6
Amiens (France),6
"Auge, Pays d' (France)",6
"Basse-Ville (Québec, Québec)",6
Beaujolais (France),6
Beloeil (Québec),6
Bilbao (Espagne),6
Bombay (Inde),6
Boucherville (Québec),6
Bratislava (Slovaquie),6
Brenne (France : Région),6
Cabrera (Espagne),6
Cadaqués (Espagne),6
Calgary (Alb.),6
Champagne-Ardenne (France),6
"Chine, Mer de",6
"Corbières (Aude, France)",6
Darfour (Soudan),6
Dinard (France),6
"East Village (New York, N.Y.)",6
"Elbe, Île d' (Italie)",6
Enfers (Lieu imaginaire),6
Érythrée,6
Extrême-Orient,6
Galápagos,6
Gaspé (Québec),6
Goa (Inde),6
Gorée (Sénégal),6
Gotal (Lieu imaginaire),6
Grasse (France),6
Havre-Saint-Pierre (Québec),6
Heidelberg (Allemagne),6
Hérault (France),6
Honduras,6
Jutland (Danemark),6
Kazakhstan,6
Kosovo,6
Koweït,6
La Tuque (Québec),6
Lancashire (Angleterre),6
Languedoc-Roussillon (France),6
"Leeds (West Yorkshire, Angleterre)",6
Lévis (Québec),6
"Libye, Désert de",6
Linköping (Suède),6
"Loire, Pays de la (France)",6
Marais poitevin (France),6
Marquises (Polynésie française),6
Moncton (N.-B.),6
Mont-Saint-Hilaire (Québec),6
Monte-Carlo (Monaco),6
Morbihan (France),6
Moselle (France),6
Muqdisho (Somalie),6
Mýkonos (Grèce : Île),6
Namur (Belgique),6
Nantucket (Mass.),6
"Napa, Vallée du (Calif.)",6
Niamey (Niger),6
Nicolet (Québec),6
Nièvre (France),6
Noirmoutier (France : Île),6
Norvège (Nord),6
Nouvelle-Guinée,6
Nunavut,6
Oakland (Calif.),6
Orcades (Écosse),6
Orléans (France),6
"Oural, Région de l' (Russie et Kazakhstan)",6
Ouzbékistan,6
Pacifique Sud,6
"Pacifique, Côte du (Amérique du Nord)",6
Palm Springs (Calif.),6
Poitou (France),6
Pôle Nord,6
Portland (Maine),6
Porto Rico,6
Quito (Équateur),6
Richmond (Virg.),6
Riga (Lettonie),6
Roberval (Québec),6
Saguenay (Québec),6
Sahel,6
Saint-Domingue (République dominicaine),6
Saint-Jean-Port-Joli (Québec),6
"Saint-Laurent, Estuaire du (Québec)",6
"Saint-Sauveur (Québec, Québec)",6
Saint-Vallier (Québec),6
Sainte-Anne-de-Beaupré (Québec),6
Salamanque (Espagne),6
Saumur (France),6
"Shenzhen (Guangdong, Chine)",6
Sienne (Italie),6
Sudbury (Ont.),6
"Supérieure, Péninsule (Mich.)",6
"Tahoe, Lac (Calif. et Nev.)",6
Terre de Feu (Argentine et Chili),6
Tombouctou (Mali),6
Univers,6
"Vārānasi (Uttar Pradesh, Inde)",6
Vénus (Planète),6
"Verdun (Montréal, Québec)",6
Voie lactée,6
"Wall Street (New York, N.Y.)",6
Wallonie (Belgique),6
Windsor (Ont.),6
Wrocław (Pologne),6
York (Angleterre),6
Zanzibar,6
"16e arrondissement (Paris, France)",5
Acapulco (Mexique),5
Afrique orientale,5
Ain (France),5
Ajaccio (France),5
Algarve (Portugal),5
Amazone (Fleuve),5
Amazonie brésilienne (Brésil),5
Angkor (Ville ancienne),5
"Arcachon, Bassin d' (France)",5
"Arvida (Saguenay, Québec)",5
"Atlantique, Îles de l'",5
Aurès (Algérie),5
Bâle (Suisse),5
Béarn (France),5
"Beauport (Québec, Québec)",5
Berkeley (Calif.),5
Berne (Suisse),5
Besançon (France),5
Bhoutan,5
Birmingham (Angleterre),5
Bordelais (France),5
Bouches-du-Rhône (France),5
Bourbonnais (France),5
Cabourg (France),5
Cadix (Espagne),5
Capri (Italie : Île),5
Carpates,5
"Cartierville (Montréal, Québec)",5
Cassis (France),5
"Catskill, Monts (N.Y.)",5
"Chaumont (Haute-Marne, France)",5
Cherbourg (France),5
Constantine (Algérie),5
"Corse, Cap (France)",5
Côte d'Opale (France),5
Côte-du-Sud (Québec),5
Côtes-d'Armor (France),5
Coventry (Angleterre),5
Dieppe (France),5
Djedda (Arabie saoudite),5
Dolomites (Italie),5
Dune (Lieu imaginaire),5
Dunkerque (France),5
"East End (Londres, Angleterre)",5
"Égée, Îles de la mer (Grèce et Turquie)",5
Est-de-Montréal (Québec),5
Eure-et-Loir (France),5
Everglades (Flor.),5
Féroé,5
Forêt de Paimpont (France),5
Gard (France),5
"Gatineau, Région de (Québec)",5
Gironde (France : Estuaire),5
Giverny (France),5
"Grand-Mère (Shawinigan, Québec)",5
Grands Lacs (Amérique du Nord),5
Granville (France),5
Grenade,5
"Griffintown (Montréal, Québec)",5
Groznyï (Russie),5
Haute-Mauricie (Québec),5
Haute-Normandie (France),5
"Haute-Ville (Québec, Québec)",5
Henan (Chine : Province),5
Ibiza (Espagne),5
Île de Man,5
Inde (Nord),5
Java (Indonésie),5
Joliette (Québec),5
Jura,5
Kandahār (Afghānistān),5
Kerala (Inde),5
Krynn (Lieu imaginaire),5
Kurdistān (Irak),5
La Malbaie (Québec),5
La Mecque (Arabie saoudite),5
"Lachine (Montréal, Québec)",5
Lake District (Angleterre),5
"Larzac, Causse du (France)",5
Ligurie (Italie),5
Lomé (Togo),5
Lot (France),5
"Lower East Side (New York, N.Y.)",5
"Luanda (Luanda, Angola)",5
Macédoine (Grèce),5
Madras (Inde),5
Malaisie occidentale,5
Malmö (Suède),5
Mékong (Fleuve),5
Mercantour (France),5
Meudon (France),5
"Mexique, Golfe du",5
Mont-Laurier (Québec),5
Nagasaki (Japon),5
Nazareth (Israël),5
"New York, Banlieue de",5
Newark (N.J.),5
Newcastle upon Tyne (Angleterre),5
Nohant-Vic (France),5
Nord-Ouest canadien,5
"Nord-Ouest, Côte (Amérique du Nord)",5
Nouméa (Nouvelle-Calédonie),5
Ontario (Est),5
Ouagadougou (Burkina Faso),5
"Ozark, Monts",5
Palma de Majorque (Espagne),5
Palmyre (Ville ancienne),5
Papouasie-Nouvelle-Guinée,5
"Parc Extension (Montréal, Québec)",5
"Parc La Fontaine (Montréal, Québec)",5
Pasadena (Calif.),5
Pátmos (Grèce : Dème),5
Pays baltes,5
Pôle Sud,5
Pripiat (Ukraine),5
Pyrénées occidentales (Espagne et France),5
Pyrénées-Atlantiques (France),5
"Quartier des Halles (Paris, France)",5
"Queens (New York, N.Y.)",5
Rājasthān (Inde),5
Reno (Nev.),5
"Rue Sainte-Catherine (Montréal, Québec)",5
Saint-Benjamin (Québec),5
Saint-Brieuc (France),5
Salt Lake City (Utah),5
Sarénie (Lieu imaginaire),5
Sarthe (France),5
Seine-et-Marne (France),5
Shetland (Écosse),5
Skala (Lieu imaginaire),5
Skye (Écosse),5
St. John's (T.-N.-L.),5
